id,benchmarkLevel,initFanCnt,deltaSpawnFanCnt,Fps,maxFansLimit
number,number,number,number,number,number
ID,benchmarkLevel,initFanCnt,deltaSpawnFanCnt,fps,maxFansLimit
1,-1,150,3,30,900
2,0,50,1,30,390
3,1,50,1,30,400
4,2,50,1,30,410
5,3,50,1,30,420
6,4,50,1,30,430
7,5,50,1,30,440
8,6,50,1,30,450
9,7,50,1,30,460
10,8,50,1,30,470
11,9,50,1,30,480
12,10,50,1,30,490
13,11,100,2,30,500
14,12,100,2,30,510
15,13,100,2,30,520
16,14,100,2,30,530
17,15,100,2,30,540
18,16,100,2,30,550
19,17,100,2,30,560
20,18,100,2,30,570
21,19,100,2,30,580
22,20,100,2,30,590
23,21,100,2,30,600
24,22,100,2,30,610
25,23,100,2,30,620
26,24,100,2,30,630
27,25,100,2,30,640
28,26,100,2,30,650
29,27,100,2,30,660
30,28,100,2,30,670
31,29,100,2,30,680
32,30,100,2,30,690
33,31,150,3,30,700
34,32,150,3,30,710
35,33,150,3,30,720
36,34,150,3,30,730
37,35,150,3,30,740
38,36,150,3,30,750
39,37,150,3,30,760
40,38,150,3,30,770
41,39,150,3,30,780
42,40,150,3,30,790
43,41,150,3,30,800
44,42,150,3,30,810
45,43,150,3,30,820
46,44,150,3,30,830
47,45,150,3,30,840
48,46,150,3,30,850
49,47,150,3,30,860
50,48,150,3,30,870
51,49,150,3,30,880
52,50,150,3,30,890
