id,等级,粉丝数目,圈圈半径,无敌圈圈
number,number,number,number,number
ID,level,fanCnt,circleRadiusFactor,invincibilitySizeFactor
1,1,0,1.5,1
2,2,15,1.5,1.1
3,3,20,1.6,1.3
4,4,30,1.7,1.5
5,5,45,1.8,1.7
6,6,65,1.9,1.9
7,7,90,2.0,2.1
8,8,120,2.1,2.3
9,9,155,2.2,2.5
10,10,195,2.21,2.5
11,11,240,2.22,2.5
12,12,290,2.23,2.5
13,13,345,2.24,2.5
14,14,405,2.25,2.5
15,15,470,2.26,2.5
16,16,540,2.27,2.5
17,17,615,2.28,2.5
18,18,695,2.29,2.5
19,19,780,2.3,2.5
20,20,870,2.31,2.5
21,21,965,2.32,2.5
22,22,1065,2.33,2.5
23,23,1170,2.34,2.5
24,24,1280,2.35,2.5
25,25,1395,2.36,2.5
26,26,1515,2.37,2.5
27,27,1640,2.38,2.5
28,28,1770,2.39,2.5
29,29,1905,2.4,2.5
30,30,2045,2.41,2.5
